Code,"Indicator Name","Long definition","Source"
SP.POP.AG18.MA.IN,"Age population, age 18, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG19.FE.IN,"Age population, age 19, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG19.MA.IN,"Age population, age 19, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG20.FE.IN,"Age population, age 20, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG20.MA.IN,"Age population, age 20, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG21.FE.IN,"Age population, age 21, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG21.MA.IN,"Age population, age 21, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG22.FE.IN,"Age population, age 22, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG22.MA.IN,"Age population, age 22, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG23.FE.IN,"Age population, age 23, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG23.MA.IN,"Age population, age 23, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG24.FE.IN,"Age population, age 24, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG24.MA.IN,"Age population, age 24, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG25.FE.IN,"Age population, age 25, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG25.MA.IN,"Age population, age 25, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SH.DYN.AIDS.DH,"AIDS estimated deaths (UNAIDS estimates)","AIDS deaths are the estimated number of adults and children who died due to AIDS-related causes.","UNAIDS estimates."
SH.HIV.ARTC.ZS,"Antiretroviral therapy coverage (% of people living with HIV)","Antiretroviral therapy coverage indicates the percentage of all people living with HIV who are receiving antiretroviral therapy.","UNAIDS estimates."
SH.HIV.PMTC.ZS,"Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)","Percentage of pregnant women with HIV who receive antiretroviral medicine for prevention of mother-to-child transmission (PMTCT).","UNAIDS estimates."
SH.STA.ARIC.ZS,"ARI treatment (% of children under 5 taken to a health provider)","Children with acute respiratory infection (ARI) who are taken to a health provider refers to the percentage of children under age five with ARI in the last two weeks who were taken to an appropriate health provider, including hospital, health center, dispensary, village health worker, clinic, and private physician.","UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys."
SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)","Crude birth rate indicates the number of live births occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.","(1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
SH.STA.BRTC.ZS,"Births attended by skilled health staff (% of total)","Births attended by skilled health staff are the percentage of deliveries attended by personnel trained to give the necessary supervision, care, and advice to women during pregnancy, labor, and the postpartum period; to conduct deliveries on their own; and to care for newborns.","UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys."
SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death refers to the share of all deaths for all ages by underlying causes. Communicable diseases and maternal, prenatal and nutrition conditions include infectious and parasitic diseases, respiratory infections, and nutritional deficiencies such as underweight and stunting.","Derived based on the data from WHO's World Health Statistics."
SH.DTH.INJR.ZS,"Cause of death, by injury (% of total)","Cause of death refers to the share of all deaths for all ages by underlying causes. Injuries include unintentional and intentional injuries.","Derived based on the data from WHO's World Health Statistics."
SH.DTH.NCOM.ZS,"Cause of death, by non-communicable diseases (% of total)","Cause of death refers to the share of all deaths for all ages by underlying causes. Non-communicable diseases include cancer, diabetes mellitus, cardiovascular diseases, digestive diseases, skin diseases, musculoskeletal diseases, and congenital anomalies.","Derived based on the data from WHO's World Health Statistics."
SH.HIV.0014,"Children (0-14) living with HIV","Children living with HIV refers to the number of children ages 0-14 who are infected with HIV.","UNAIDS estimates."
SH.HIV.INCD.14,"Children (ages 0-14) newly infected with HIV","Number of children (ages 0-14) newly infected with HIV.","UNAIDS estimates."
SH.HIV.ORPH,"Children orphaned by HIV/AIDS","Number of children orphaned by HIV/AIDS is the estimated number of children who have lost their mother or both parents to AIDS before age 15 since the epidemic began. Some of the orphaned children included in this cumulative total are no longer alive; others are no longer under age 15.","UNAIDS estimates."
SH.MLR.TRET.ZS,"Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","Malaria treatment refers to the percentage of children under age five who were ill with fever in the last two weeks and received any appropriate (locally defined) anti-malarial drugs.","UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys."
SH.MED.CMHW.P3,"Community health workers (per 1,000 people)","Community health workers include various types of community health aides, many with country-specific occupational titles such as community health officers, community health-education workers, family health workers, lady health visitors and health extension package workers.","World Health Organization's Global Health Workforce Statistics, OECD, supplemented by country data."
SP.REG.BRTH.ZS,"Completeness of birth registration (%)","Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.","UNICEF's State of the World's Children based mostly on household surveys and ministry of health data."
SP.REG.BRTH.RU.ZS,"Completeness of birth registration, rural (%)","Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.","UNICEF's State of the World's Children based mostly on household surveys and ministry of health data."
SP.REG.BRTH.UR.ZS,"Completeness of birth registration, urban (%)","Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.","UNICEF's State of the World's Children based mostly on household surveys and ministry of health data."
SP.REG.DTHS.ZS,"Completeness of death registration with cause-of-death information (%)","Completeness of death registration is the estimated percentage of deaths that are registered with their cause of death information in the vital registration system of a country.","World Health Organization, Global Health Observatory Data Repository/World Health Statistics (http://apps.who.int/gho/data/node.main.1?lang=en)."
SH.HIV.1524.KW.FE.ZS,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, female (2 prevent ways and reject 3 misconceptions)","The percent of female respondents ages 15-24 who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission, and who know that a healthy-looking person can have HIV.","Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF."
SH.HIV.1524.KW.MA.ZS,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions)","The percent of male respondents ages 15-24 who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission, and who know that a healthy-looking person can have HIV.","Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF."
SH.CON.AIDS.FE.ZS,"Condom use at last high-risk sex, adult female (% ages 15-49)","Condom use at last high-risk sex is the percentage of the population ages 15-49 who used a condom at last intercourse with a non-marital and non-cohabiting sexual partner in the last 12 months.","Demographic and Health Surveys, and UNAIDS."
SH.CON.AIDS.MA.ZS,"Condom use at last high-risk sex, adult male (% ages 15-49)","Condom use at last high-risk sex is the percentage of the population ages 15-49 who used a condom at last intercourse with a non-marital and non-cohabiting sexual partner in the last 12 months.","Demographic and Health Surveys, and UNAIDS."
SH.CON.1524.FE.ZS,"Condom use, population ages 15-24, female (% of females ages 15-24)","Condom use is the percentage of the population ages 15-24 who used a condom at last intercourse in the last 12 months.","Demographic and Health Surveys, and UNAIDS."
SH.CON.1524.MA.ZS,"Condom use, population ages 15-24, male (% of males ages 15-24)","Condom use is the percentage of the population ages 15-24 who used a condom at last intercourse in the last 12 months.","Demographic and Health Surveys, and UNAIDS."
SN.ITK.SALT.ZS,"Consumption of iodized salt (% of households)","Consumption of iodized salt refers to the percentage of households that use edible salt fortified with iodine.","United Nations Children's Fund, State of the World's Children."
SP.DYN.CONU.ZS,"Contraceptive prevalence, any methods (% of women ages 15-49)","Contraceptive prevalence rate is the percentage of women who are practicing, or whose sexual partners are practicing, any form of contraception. It is usually measured for women ages 15-49 who are married or in union.","UNICEF's State of the World's Children and Childinfo, United Nations Population Division's World Contraceptive Use, household surveys including Demographic and Health Surveys and Multiple Indicator Cluster Surveys."
SP.DYN.CONM.ZS,"Contraceptive prevalence, modern methods (% of women ages 15-49)","Contraceptive prevalence rate is the percentage of women who are practicing, or whose sexual partners are practicing, at least one modern method of contraception. It is usually measured for women ages 15-49 who are married or in union. Modern methods of contraception include female and male sterilization, oral hormonal pills, the intra-uterine device (IUD), the male condom, injectables, the implant (including Norplant), vaginal barrier methods, the female condom and emergency contraception.","Household surveys, including Demographic and Health Surveys and Multiple Indicator Cluster Surveys. Largely compiled by United Nations Population Division."
SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)","Crude death rate indicates the number of deaths occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.","(1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
SH.FPL.SATI.ZS,"Demand for family planning satisfied by any methods (% of married women with demand for family planning)","Demand for family planning satisfied by any methods refers to the percentage of married women ages 15-49 whose need for family planning is satisfied.","Demographic and Health Surveys."
SH.FPL.SATM.ZS,"Demand for family planning satisfied by modern methods (% of married women with demand for family planning)","Demand for family planning satisfied by modern methods refers to the percentage of married women ages 15-49 years whose need for family planning is satisfied with modern methods.","Demographic and Health Surveys (DHS)."
SH.STA.DIAB.ZS,"Diabetes prevalence (% of population ages 20 to 79)","Diabetes prevalence refers to the percentage of people ages 20-79 who have type 1 or type 2 diabetes.","International Diabetes Federation, Diabetes Atlas."
SH.STA.ORCF.ZS,"Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)","Children with diarrhea who received oral rehydration and continued feeding refer to the percentage of children under age five with diarrhea in the two weeks prior to the survey who received either oral rehydration therapy or increased fluids, with continued feeding.","UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys."
SH.STA.ORTH,"Diarrhea treatment (% of children under 5 who received ORS packet)","Percentage of children under age 5 with diarrhea in the two weeks preceding the survey who received oral rehydration salts (ORS packets or pre-packaged ORS fluids).","UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys."
SH.STA.BFED.ZS,"Exclusive breastfeeding (% of children under 6 months)","Exclusive breastfeeding refers to the percentage of children less than six months old who are fed breast milk alone (no other liquids) in the past 24 hours.","UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys."
SH.XPD.EXTR.ZS,"External resources for health (% of total expenditure on health)","External resources for health are funds or services in kind that are provided by entities not part of the country in question. The resources may come from international organizations, other countries through bilateral arrangements, or foreign nongovernmental organizations. These resources are part of total health expenditure.","World Health Organization Global Health Expenditure database (see http://apps.who.int/nha/database for the most recent updates)."
SP.HOU.FEMA.ZS,"Female headed households (% of households with a female head)","Female headed households shows the percentage of households with a female head.","Demographic and Health Surveys."
SP.POP.0004.FE,"Population ages 0-4, female","Female population between the ages 0 to 4.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.0509.FE,"Population ages 5-9, female","Female population between the ages 5 to 9.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.1014.FE,"Population ages 10-14, female","Female population between the ages 10 to 14.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.1519.FE,"Population ages 15-19, female","Female population between the ages 15 to 19.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.2024.FE,"Population ages 20-24, female","Female population between the ages 20 to 24.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.2529.FE,"Population ages 25-29, female","Female population between the ages 25 to 29.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.3034.FE,"Population ages 30-34, female","Female population between the ages 30 to 34.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.3539.FE,"Population ages 35-39, female","Female population between the ages 35 to 39.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.4044.FE,"Population ages 40-44, female","Female population between the ages 40 to 44.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.4549.FE,"Population ages 45-49, female","Female population between the ages 45 to 49.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
